idea_id,idea,category,signal_strength,signal_reasoning,query_kind,query
1,note-taking app with better offline sync,note-taking,high,"Note-taking is an established consumer category with numerous apps and discussion videos already focusing on similar features, including offline capabilities.",appstore,offline sync note-taking app
1,note-taking app with better offline sync,note-taking,high,"Note-taking is an established consumer category with numerous apps and discussion videos already focusing on similar features, including offline capabilities.",appstore,note app with offline mode
1,note-taking app with better offline sync,note-taking,high,"Note-taking is an established consumer category with numerous apps and discussion videos already focusing on similar features, including offline capabilities.",appstore,best note-taking apps offline sync
1,note-taking app with better offline sync,note-taking,high,"Note-taking is an established consumer category with numerous apps and discussion videos already focusing on similar features, including offline capabilities.",youtube,note-taking app offline sync review
1,note-taking app with better offline sync,note-taking,high,"Note-taking is an established consumer category with numerous apps and discussion videos already focusing on similar features, including offline capabilities.",youtube,best offline note apps 2023
1,note-taking app with better offline sync,note-taking,high,"Note-taking is an established consumer category with numerous apps and discussion videos already focusing on similar features, including offline capabilities.",youtube,note-taking apps with reliable offline capabilities
2,habit tracker that uses streaks,habit tracking,high,"Habit tracking is an established consumer category with many existing apps and discussion videos, and the concept of using streaks within these apps is already well-discussed.",appstore,habit tracker
2,habit tracker that uses streaks,habit tracking,high,"Habit tracking is an established consumer category with many existing apps and discussion videos, and the concept of using streaks within these apps is already well-discussed.",appstore,streak habit tracker
2,habit tracker that uses streaks,habit tracking,high,"Habit tracking is an established consumer category with many existing apps and discussion videos, and the concept of using streaks within these apps is already well-discussed.",appstore,habit tracking app
2,habit tracker that uses streaks,habit tracking,high,"Habit tracking is an established consumer category with many existing apps and discussion videos, and the concept of using streaks within these apps is already well-discussed.",youtube,best habit tracker apps
2,habit tracker that uses streaks,habit tracking,high,"Habit tracking is an established consumer category with many existing apps and discussion videos, and the concept of using streaks within these apps is already well-discussed.",youtube,habit trackers with streak feature
2,habit tracker that uses streaks,habit tracking,high,"Habit tracking is an established consumer category with many existing apps and discussion videos, and the concept of using streaks within these apps is already well-discussed.",youtube,how to use habit tracker apps
3,podcast player with better chapter navigation,podcast apps,high,"Podcast players are a well-established consumer category with multiple apps and discussions around their features, making this a high-signal category.",appstore,podcast player
3,podcast player with better chapter navigation,podcast apps,high,"Podcast players are a well-established consumer category with multiple apps and discussions around their features, making this a high-signal category.",appstore,podcast app
3,podcast player with better chapter navigation,podcast apps,high,"Podcast players are a well-established consumer category with multiple apps and discussions around their features, making this a high-signal category.",appstore,podcast player chapter navigation
3,podcast player with better chapter navigation,podcast apps,high,"Podcast players are a well-established consumer category with multiple apps and discussions around their features, making this a high-signal category.",youtube,best podcast player apps
3,podcast player with better chapter navigation,podcast apps,high,"Podcast players are a well-established consumer category with multiple apps and discussions around their features, making this a high-signal category.",youtube,podcast player with chapter navigation
3,podcast player with better chapter navigation,podcast apps,high,"Podcast players are a well-established consumer category with multiple apps and discussions around their features, making this a high-signal category.",youtube,podcast app features review
4,meditation app for sleep,meditation for sleep,high,The category of meditation apps for sleep is well-established with numerous existing apps and plenty of discussion videos.,appstore,meditation app for sleep
4,meditation app for sleep,meditation for sleep,high,The category of meditation apps for sleep is well-established with numerous existing apps and plenty of discussion videos.,appstore,sleep meditation
4,meditation app for sleep,meditation for sleep,high,The category of meditation apps for sleep is well-established with numerous existing apps and plenty of discussion videos.,appstore,guided sleep meditation
4,meditation app for sleep,meditation for sleep,high,The category of meditation apps for sleep is well-established with numerous existing apps and plenty of discussion videos.,youtube,meditation app for sleep review
4,meditation app for sleep,meditation for sleep,high,The category of meditation apps for sleep is well-established with numerous existing apps and plenty of discussion videos.,youtube,best sleep meditation app
4,meditation app for sleep,meditation for sleep,high,The category of meditation apps for sleep is well-established with numerous existing apps and plenty of discussion videos.,youtube,guided sleep meditation for relaxation
5,expense tracker for freelancers,freelancer finance tools,high,Expense tracking and budgeting tools for freelancers are an established category with many existing apps and discussion videos focused on this niche audience.,appstore,freelancer expense tracker
5,expense tracker for freelancers,freelancer finance tools,high,Expense tracking and budgeting tools for freelancers are an established category with many existing apps and discussion videos focused on this niche audience.,appstore,self-employed expense tracking
5,expense tracker for freelancers,freelancer finance tools,high,Expense tracking and budgeting tools for freelancers are an established category with many existing apps and discussion videos focused on this niche audience.,appstore,freelance budgeting app
5,expense tracker for freelancers,freelancer finance tools,high,Expense tracking and budgeting tools for freelancers are an established category with many existing apps and discussion videos focused on this niche audience.,youtube,best expense trackers for freelancers
5,expense tracker for freelancers,freelancer finance tools,high,Expense tracking and budgeting tools for freelancers are an established category with many existing apps and discussion videos focused on this niche audience.,youtube,how to track expenses for self-employed
5,expense tracker for freelancers,freelancer finance tools,high,Expense tracking and budgeting tools for freelancers are an established category with many existing apps and discussion videos focused on this niche audience.,youtube,freelancer budgeting tips
6,2.5d vampire survivors-like game,2.5D action games,medium,The category of 'vampire survivors-like' games exists but the 2.5D visual style and specific game mechanics may not be well-categorized in search platforms.,appstore,vampire survivors game
6,2.5d vampire survivors-like game,2.5D action games,medium,The category of 'vampire survivors-like' games exists but the 2.5D visual style and specific game mechanics may not be well-categorized in search platforms.,appstore,2.5D action games
6,2.5d vampire survivors-like game,2.5D action games,medium,The category of 'vampire survivors-like' games exists but the 2.5D visual style and specific game mechanics may not be well-categorized in search platforms.,appstore,survivors-like games
6,2.5d vampire survivors-like game,2.5D action games,medium,The category of 'vampire survivors-like' games exists but the 2.5D visual style and specific game mechanics may not be well-categorized in search platforms.,youtube,vampire survivors gameplay
6,2.5d vampire survivors-like game,2.5D action games,medium,The category of 'vampire survivors-like' games exists but the 2.5D visual style and specific game mechanics may not be well-categorized in search platforms.,youtube,2.5D game reviews
6,2.5d vampire survivors-like game,2.5D action games,medium,The category of 'vampire survivors-like' games exists but the 2.5D visual style and specific game mechanics may not be well-categorized in search platforms.,youtube,survivors-like game tips
7,roguelike deckbuilder,Roguelike Deckbuilder Games,high,Roguelike deckbuilders are a popular and well-established genre with many existing games and active discussions in gaming communities.,appstore,roguelike deckbuilder games
7,roguelike deckbuilder,Roguelike Deckbuilder Games,high,Roguelike deckbuilders are a popular and well-established genre with many existing games and active discussions in gaming communities.,appstore,card battler roguelike
7,roguelike deckbuilder,Roguelike Deckbuilder Games,high,Roguelike deckbuilders are a popular and well-established genre with many existing games and active discussions in gaming communities.,appstore,deckbuilding card games
7,roguelike deckbuilder,Roguelike Deckbuilder Games,high,Roguelike deckbuilders are a popular and well-established genre with many existing games and active discussions in gaming communities.,youtube,best roguelike deckbuilders
7,roguelike deckbuilder,Roguelike Deckbuilder Games,high,Roguelike deckbuilders are a popular and well-established genre with many existing games and active discussions in gaming communities.,youtube,roguelike deckbuilder gameplay
7,roguelike deckbuilder,Roguelike Deckbuilder Games,high,Roguelike deckbuilders are a popular and well-established genre with many existing games and active discussions in gaming communities.,youtube,top deckbuilding games 2023
8,city-builder with realistic logistics,City Building Simulation Games,high,"City-building games are an established genre with many existing apps and a significant number of discussion videos focusing on gameplay mechanics, including logistics systems.",appstore,city building games
8,city-builder with realistic logistics,City Building Simulation Games,high,"City-building games are an established genre with many existing apps and a significant number of discussion videos focusing on gameplay mechanics, including logistics systems.",appstore,realistic city builder
8,city-builder with realistic logistics,City Building Simulation Games,high,"City-building games are an established genre with many existing apps and a significant number of discussion videos focusing on gameplay mechanics, including logistics systems.",appstore,logistics simulator game
8,city-builder with realistic logistics,City Building Simulation Games,high,"City-building games are an established genre with many existing apps and a significant number of discussion videos focusing on gameplay mechanics, including logistics systems.",youtube,realistic city builder games
8,city-builder with realistic logistics,City Building Simulation Games,high,"City-building games are an established genre with many existing apps and a significant number of discussion videos focusing on gameplay mechanics, including logistics systems.",youtube,logistics system city builder
8,city-builder with realistic logistics,City Building Simulation Games,high,"City-building games are an established genre with many existing apps and a significant number of discussion videos focusing on gameplay mechanics, including logistics systems.",youtube,city building games with logistics
9,productivity app,productivity,high,Productivity apps are a well-established consumer category with many existing apps and numerous reviews and tutorials available on platforms like YouTube.,appstore,productivity planner
9,productivity app,productivity,high,Productivity apps are a well-established consumer category with many existing apps and numerous reviews and tutorials available on platforms like YouTube.,appstore,task management
9,productivity app,productivity,high,Productivity apps are a well-established consumer category with many existing apps and numerous reviews and tutorials available on platforms like YouTube.,appstore,to-do list app
9,productivity app,productivity,high,Productivity apps are a well-established consumer category with many existing apps and numerous reviews and tutorials available on platforms like YouTube.,youtube,best productivity apps
9,productivity app,productivity,high,Productivity apps are a well-established consumer category with many existing apps and numerous reviews and tutorials available on platforms like YouTube.,youtube,productivity app reviews
9,productivity app,productivity,high,Productivity apps are a well-established consumer category with many existing apps and numerous reviews and tutorials available on platforms like YouTube.,youtube,top productivity apps 2023
10,fitness app,health and fitness,high,Fitness apps are a well-established consumer category with numerous apps and extensive video content dedicated to reviews and comparisons.,appstore,fitness tracker
10,fitness app,health and fitness,high,Fitness apps are a well-established consumer category with numerous apps and extensive video content dedicated to reviews and comparisons.,appstore,workout planner
10,fitness app,health and fitness,high,Fitness apps are a well-established consumer category with numerous apps and extensive video content dedicated to reviews and comparisons.,appstore,exercise logging
10,fitness app,health and fitness,high,Fitness apps are a well-established consumer category with numerous apps and extensive video content dedicated to reviews and comparisons.,youtube,best fitness apps
10,fitness app,health and fitness,high,Fitness apps are a well-established consumer category with numerous apps and extensive video content dedicated to reviews and comparisons.,youtube,top workout apps 2023
10,fitness app,health and fitness,high,Fitness apps are a well-established consumer category with numerous apps and extensive video content dedicated to reviews and comparisons.,youtube,fitness app reviews
11,note-taking app for ADHD users with spaced repetition,Productivity,medium,"While note-taking and productivity apps are established categories, the niche focus on ADHD and spaced repetition presents a more specialized qualifier that is less frequently searched.",appstore,ADHD note-taking app
11,note-taking app for ADHD users with spaced repetition,Productivity,medium,"While note-taking and productivity apps are established categories, the niche focus on ADHD and spaced repetition presents a more specialized qualifier that is less frequently searched.",appstore,spaced repetition note app
11,note-taking app for ADHD users with spaced repetition,Productivity,medium,"While note-taking and productivity apps are established categories, the niche focus on ADHD and spaced repetition presents a more specialized qualifier that is less frequently searched.",appstore,ADHD productivity tools
11,note-taking app for ADHD users with spaced repetition,Productivity,medium,"While note-taking and productivity apps are established categories, the niche focus on ADHD and spaced repetition presents a more specialized qualifier that is less frequently searched.",youtube,note-taking apps for ADHD
11,note-taking app for ADHD users with spaced repetition,Productivity,medium,"While note-taking and productivity apps are established categories, the niche focus on ADHD and spaced repetition presents a more specialized qualifier that is less frequently searched.",youtube,spaced repetition for ADHD
11,note-taking app for ADHD users with spaced repetition,Productivity,medium,"While note-taking and productivity apps are established categories, the niche focus on ADHD and spaced repetition presents a more specialized qualifier that is less frequently searched.",youtube,ADHD-friendly note apps
12,video editor for short-form creators,video editing,high,"The market for video editing apps, especially for short-form content on platforms like TikTok and Instagram, is well-established with a significant number of competitors and extensive discussion on YouTube.",appstore,short-form video editor
12,video editor for short-form creators,video editing,high,"The market for video editing apps, especially for short-form content on platforms like TikTok and Instagram, is well-established with a significant number of competitors and extensive discussion on YouTube.",appstore,TikTok video editor
12,video editor for short-form creators,video editing,high,"The market for video editing apps, especially for short-form content on platforms like TikTok and Instagram, is well-established with a significant number of competitors and extensive discussion on YouTube.",appstore,Instagram Reels video editor
12,video editor for short-form creators,video editing,high,"The market for video editing apps, especially for short-form content on platforms like TikTok and Instagram, is well-established with a significant number of competitors and extensive discussion on YouTube.",youtube,best video editor for short-form content
12,video editor for short-form creators,video editing,high,"The market for video editing apps, especially for short-form content on platforms like TikTok and Instagram, is well-established with a significant number of competitors and extensive discussion on YouTube.",youtube,TikTok video editing apps review
12,video editor for short-form creators,video editing,high,"The market for video editing apps, especially for short-form content on platforms like TikTok and Instagram, is well-established with a significant number of competitors and extensive discussion on YouTube.",youtube,how to edit Instagram Reels videos
13,Slack alternative for solo developers,developer communication tools,low,"The concept is niche within a B2B context, focused on a very specific audience, making it unlikely for the App Store and YouTube to have extensive relevant results.",appstore,developer communication tool
13,Slack alternative for solo developers,developer communication tools,low,"The concept is niche within a B2B context, focused on a very specific audience, making it unlikely for the App Store and YouTube to have extensive relevant results.",appstore,solo developer chat app
13,Slack alternative for solo developers,developer communication tools,low,"The concept is niche within a B2B context, focused on a very specific audience, making it unlikely for the App Store and YouTube to have extensive relevant results.",appstore,Slack alternative
13,Slack alternative for solo developers,developer communication tools,low,"The concept is niche within a B2B context, focused on a very specific audience, making it unlikely for the App Store and YouTube to have extensive relevant results.",youtube,Slack alternatives for developers
13,Slack alternative for solo developers,developer communication tools,low,"The concept is niche within a B2B context, focused on a very specific audience, making it unlikely for the App Store and YouTube to have extensive relevant results.",youtube,best communication tools for solo developers
13,Slack alternative for solo developers,developer communication tools,low,"The concept is niche within a B2B context, focused on a very specific audience, making it unlikely for the App Store and YouTube to have extensive relevant results.",youtube,tools for individual developers
14,tool for prompt engineers to manage prompts,prompt engineering tools,low,"The concept of prompt engineering is relatively new and niche, particularly for B2B or specialist users, resulting in fewer existing market offerings and discussions.",appstore,prompt management tool
14,tool for prompt engineers to manage prompts,prompt engineering tools,low,"The concept of prompt engineering is relatively new and niche, particularly for B2B or specialist users, resulting in fewer existing market offerings and discussions.",appstore,AI prompt manager
14,tool for prompt engineers to manage prompts,prompt engineering tools,low,"The concept of prompt engineering is relatively new and niche, particularly for B2B or specialist users, resulting in fewer existing market offerings and discussions.",appstore,write better AI prompts
14,tool for prompt engineers to manage prompts,prompt engineering tools,low,"The concept of prompt engineering is relatively new and niche, particularly for B2B or specialist users, resulting in fewer existing market offerings and discussions.",youtube,how to manage AI prompts
14,tool for prompt engineers to manage prompts,prompt engineering tools,low,"The concept of prompt engineering is relatively new and niche, particularly for B2B or specialist users, resulting in fewer existing market offerings and discussions.",youtube,best tools for prompt engineers
14,tool for prompt engineers to manage prompts,prompt engineering tools,low,"The concept of prompt engineering is relatively new and niche, particularly for B2B or specialist users, resulting in fewer existing market offerings and discussions.",youtube,prompt engineering tips and tools
15,AI companion app for processing dreams,Dream Analysis,medium,"Dream analysis is an existing consumer interest, but the specific AI component might not have many direct competitors yet.",appstore,AI dream analysis
15,AI companion app for processing dreams,Dream Analysis,medium,"Dream analysis is an existing consumer interest, but the specific AI component might not have many direct competitors yet.",appstore,dream interpretation app
15,AI companion app for processing dreams,Dream Analysis,medium,"Dream analysis is an existing consumer interest, but the specific AI component might not have many direct competitors yet.",appstore,dream journal app
15,AI companion app for processing dreams,Dream Analysis,medium,"Dream analysis is an existing consumer interest, but the specific AI component might not have many direct competitors yet.",youtube,AI dream interpretation
15,AI companion app for processing dreams,Dream Analysis,medium,"Dream analysis is an existing consumer interest, but the specific AI component might not have many direct competitors yet.",youtube,dream processing apps review
15,AI companion app for processing dreams,Dream Analysis,medium,"Dream analysis is an existing consumer interest, but the specific AI component might not have many direct competitors yet.",youtube,how to use dream analysis app
